# EoS grid of quantities for by Rho/mu_e and T 
# Number of x1 points =171
# Number of x2 points =71
# Rho/mu_e  T  F  dFdrho  dFdT  d2FdRho2  d2FdT2   d2FdRhodT
-2.5	4	-1.54742e+12	2.81121e+14	-2.88089e+08	-8.31862e+16	-12049.6	2.54026e+10	-8.30631e+12	129642	-2.38749e+06
-2.4	4	-1.34108e+12	2.27011e+14	-2.69671e+08	-5.2502e+16	-11944.2	2.00016e+10	-5.23802e+12	127705	-2.34477e+06
-2.3	4	-1.13094e+12	1.84014e+14	-2.51432e+08	-3.31414e+16	-11813.8	1.57143e+10	-3.30212e+12	125315	-2.29226e+06
-2.2	4	-9.16012e+11	1.49841e+14	-2.33417e+08	-2.09255e+16	-11653.1	1.23125e+10	-2.08072e+12	122383	-2.22783e+06
-2.1	4	-6.95104e+11	1.22673e+14	-2.15675e+08	-1.32175e+16	-11456.1	9.61486e+09	-1.31015e+12	118807	-2.1494e+06
-2	4	-4.66719e+11	1.01063e+14	-1.98267e+08	-8.35374e+15	-11216.2	7.47744e+09	-8.24067e+11	114485	-2.05487e+06
-1.9	4	-2.29006e+11	8.38621e+13	-1.81265e+08	-5.28454e+15	-10926.5	5.78615e+09	-5.17496e+11	109312	-1.94195e+06
-1.8	4	2.03196e+10	7.0155e+13	-1.64751e+08	-3.34753e+15	-10580.3	4.45046e+09	-3.24215e+11	103201	-1.80926e+06
-1.7	4	2.84067e+11	5.92139e+13	-1.48815e+08	-2.12479e+15	-10171.6	3.39856e+09	-2.0244e+11	96095.7	-1.65598e+06
-1.6	4	5.65667e+11	5.04596e+13	-1.33557e+08	-1.35262e+15	-9696.44	2.57347e+09	-1.25806e+11	87996.7	-1.48288e+06
-1.5	4	8.69291e+11	4.34305e+13	-1.1908e+08	-8.64646e+14	-9154.09	1.92984e+09	-7.76786e+10	78986	-1.29282e+06
-1.4	4	1.19997e+12	3.7759e+13	-1.05486e+08	-5.55872e+14	-8548.34	1.43149e+09	-4.75542e+10	69251.7	-1.09131e+06
-1.3	4	1.56374e+12	3.31528e+13	-9.28638e+07	-3.60074e+14	-7888.63	1.04932e+09	-2.87979e+10	59099.7	-886560
-1.2	4	1.96775e+12	2.93797e+13	-8.12866e+07	-2.35486e+14	-7190.38	7.59725e+08	-1.72118e+10	48940	-688929
-1.1	4	2.42046e+12	2.62564e+13	-7.0798e+07	-1.55787e+14	-6474.06	5.43352e+08	-1.01337e+10	39240	-509297
-1	4	2.93177e+12	2.36389e+13	-6.14081e+07	-1.0441e+14	-5762.8	3.84182e+08	-5.87154e+09	30445.8	-356816
-0.9	4	3.51321e+12	2.14156e+13	-5.30916e+07	-7.09468e+13	-5078.93	2.68952e+08	-3.34871e+09	22893.9	-236673
-0.8	4	4.17814e+12	1.95009e+13	-4.5792e+07	-4.88719e+13	-4440.56	1.86784e+08	-1.88295e+09	16746.5	-149035
-0.7	4	4.94206e+12	1.783e+13	-3.94295e+07	-3.40964e+13	-3859.38	1.28949e+08	-1.04658e+09	11980.7	-89703.9
-0.6	4	5.82286e+12	1.63541e+13	-3.39116e+07	-2.40557e+13	-3340.34	8.86524e+07	-5.76748e+08	8433.02	-52110.9
-0.5	4	6.84126e+12	1.50369e+13	-2.91428e+07	-1.71321e+13	-2883.04	6.07784e+07	-3.15972e+08	5871.12	-29524.2
-0.4	4	8.02126e+12	1.38514e+13	-2.50309e+07	-1.22946e+13	-2483.72	4.1591e+07	-1.7244e+08	4058.81	-16459.5
-0.3	4	9.39068e+12	1.2777e+13	-2.14908e+07	-8.87628e+12	-2137	2.84249e+07	-9.38709e+07	2793.29	-9085.22
-0.2	4	1.09818e+13	1.17981e+13	-1.84463e+07	-6.43832e+12	-1837.07	1.94097e+07	-5.10136e+07	1916.66	-4983.89
-0.1	4	1.28323e+13	1.09026e+13	-1.58299e+07	-4.68664e+12	-1578.25	1.32454e+07	-2.76904e+07	1312.48	-2722.94
-4.57967e-15	4	1.49857e+13	1.00808e+13	-1.35827e+07	-3.42076e+12	-1355.29	9.03484e+06	-1.5018e+07	897.479	-1483.64
0.1	4	1.74929e+13	9.32494e+12	-1.16533e+07	-2.50185e+12	-1163.46	6.16076e+06	-8.14025e+06	613.081	-806.849
0.2	4	2.04132e+13	8.62839e+12	-9.99724e+06	-1.83256e+12	-998.544	4.19997e+06	-4.41038e+06	418.501	-438.196
0.3	4	2.38153e+13	7.98571e+12	-8.57603e+06	-1.34383e+12	-856.859	2.86275e+06	-2.38879e+06	285.527	-237.679
0.4	4	2.77797e+13	7.39214e+12	-7.35656e+06	-9.86264e+11	-735.188	1.95104e+06	-1.29355e+06	194.73	-128.906
0.5	4	3.23999e+13	6.84353e+12	-6.31032e+06	-7.24288e+11	-630.737	1.32956e+06	-700348	132.769	-69.8644
0.6	4	3.7785e+13	6.33621e+12	-5.41277e+06	-5.32142e+11	-541.091	905990	-379134	90.5053	-37.8438
0.7	4	4.40621e+13	5.86689e+12	-4.64282e+06	-3.91104e+11	-464.165	617328	-205226	61.686	-20.4935
0.8	4	5.13793e+13	5.43258e+12	-3.98236e+06	-2.87518e+11	-398.162	420623	-111082	42.0388	-11.0975
0.9	4	5.99094e+13	5.0306e+12	-3.41584e+06	-2.11407e+11	-341.537	286588	-60122.3	28.6471	-6.00808
1	4	6.98536e+13	4.65847e+12	-2.9299e+06	-1.55465e+11	-292.961	195261	-32539.6	19.5202	-3.25202
1.1	4	8.14467e+13	4.31394e+12	-2.5131e+06	-1.14338e+11	-251.291	133035	-17610.7	13.3005	-1.76048
1.2	4	9.49623e+13	3.99492e+12	-2.15559e+06	-8.40975e+10	-215.547	90638.4	-9530.87	9.06236	-0.953086
1.3	4	1.10719e+14	3.69952e+12	-1.84895e+06	-6.18588e+10	-184.888	61752.6	-5158.01	6.17453	-0.515656
1.4	4	1.29089e+14	3.42597e+12	-1.58595e+06	-4.55029e+10	-158.59	42072.2	-2791.44	4.20685	-0.279079
1.5	4	1.50505e+14	3.17264e+12	-1.36036e+06	-3.34729e+10	-136.033	28663.8	-1510.67	2.86618	-0.150994
1.6	4	1.75473e+14	2.93803e+12	-1.16688e+06	-2.46241e+10	-116.686	19528.6	-817.544	1.95276	-0.0817454
1.7	4	2.04581e+14	2.72075e+12	-1.00093e+06	-1.8115e+10	-100.092	13304.8	-442.434	1.33046	-0.0443105
1.8	4	2.38516e+14	2.51951e+12	-858593	-1.33268e+10	-85.8585	9064.47	-239.435	0.906418	-0.0239393
1.9	4	2.78077e+14	2.33313e+12	-736511	-9.80446e+09	-73.6506	6175.57	-129.575	0.617545	-0.0129584
2	4	3.24197e+14	2.16051e+12	-631801	-7.21325e+09	-63.1798	4207.38	-70.1224	0.420732	-0.00701075
2.1	4	3.77963e+14	2.00063e+12	-541992	-5.30698e+09	-54.199	2866.46	-37.9484	0.286644	-0.00379533
2.2	4	4.4064e+14	1.85253e+12	-464963	-3.90459e+09	-46.4961	1952.9	-20.5365	0.195289	-0.00205349
2.3	4	5.13703e+14	1.71536e+12	-398895	-2.87286e+09	-39.8894	1330.5	-11.1138	0.133053	-0.00110927
2.4	4	5.98873e+14	1.5883e+12	-342229	-2.11382e+09	-34.2228	906.458	-6.0145	0.090626	-0.000594894
2.5	4	6.98152e+14	1.4706e+12	-293627	-1.55537e+09	-29.3626	617.563	-3.25485	0.0617557	-0.000324971
2.6	4	8.13872e+14	1.36157e+12	-251941	-1.14451e+09	-25.194	420.742	-1.76143	0.0420738	-0.000176453
2.7	4	9.48752e+14	1.26057e+12	-216187	-8.42217e+08	-21.6187	286.648	-0.95321	0.0286665	-9.50303e-05
2.8	4	1.10595e+15	1.16699e+12	-185521	-6.19799e+08	-18.552	195.292	-0.51585	0.0195274	-5.17943e-05
2.9	4	1.28916e+15	1.0803e+12	-159218	-4.56146e+08	-15.9218	133.051	-0.279136	0.01329	-3.1448e-05
3	4	1.50267e+15	9.9997e+11	-136659	-3.35727e+08	-13.6659	90.6469	-0.151071	0.00906504	-1.52889e-05
3.1	4	1.75146e+15	9.25537e+11	-117310	-2.47118e+08	-11.731	61.7573	-0.0817614	0.00617738	-8.07099e-06
3.2	4	2.04134e+15	8.56561e+11	-100714	-1.81912e+08	-10.0714	42.075	-0.0442375	0.00420712	-4.38391e-06
3.3	4	2.37906e+15	7.92635e+11	-86479.6	-1.33926e+08	-8.64796	28.6656	-0.0239457	0.00286822	-2.35362e-06
3.4	4	2.77247e+15	7.33382e+11	-74270.8	-9.86094e+07	-7.42708	19.5299	-0.0129579	0.00195225	-1.26316e-06
3.5	4	3.23068e+15	6.78455e+11	-63799.3	-7.2616e+07	-6.37993	13.3058	-0.00701272	0.0013311	-7.06561e-07
3.6	4	3.76428e+15	6.27529e+11	-54817.7	-5.34828e+07	-5.48177	9.0653	-0.00379508	0.000905812	-3.77488e-07
3.7	4	4.38556e+15	5.80306e+11	-47114	-3.93978e+07	-4.7114	6.17629	-0.00205395	0.000617255	-1.76478e-07
3.8	4	5.10876e+15	5.36508e+11	-40506.4	-2.9028e+07	-4.05064	4.20802	-0.00111143	0.000419975	-9.37933e-08
3.9	4	5.95039e+15	4.95878e+11	-34838.8	-2.13923e+07	-3.48388	2.86704	-0.000602266	0.000286883	-5.68402e-08
4	4	6.92953e+15	4.58178e+11	-29977.5	-1.5769e+07	-2.99775	1.95342	-0.000325766	0.000195409	-3.66131e-08
4.1	4	8.06827e+15	4.23189e+11	-25807.6	-1.16271e+07	-2.58076	1.33098	-0.000176219	0.00013324	-1.78779e-08
4.2	4	9.39211e+15	3.90704e+11	-22230.7	-8.57561e+06	-2.22307	0.906897	-9.51794e-05	9.074e-05	-1.03214e-08
4.3	4	1.09304e+16	3.60537e+11	-19162.4	-6.327e+06	-1.91624	0.617965	-5.20217e-05	5.89397e-05	4.7194e-08
4.4	4	1.2717e+16	3.32513e+11	-16530.2	-4.66957e+06	-1.65302	0.421109	-2.78182e-05	4.2065e-05	-2.95602e-09
4.5	4	1.47906e+16	3.0647e+11	-14272	-3.44752e+06	-1.4272	0.286984	-1.50983e-05	2.87874e-05	-1.6377e-09
4.6	4	1.71959e+16	2.8226e+11	-12334.5	-2.54619e+06	-1.23345	0.195597	-8.17919e-06	1.95333e-05	-8.42665e-10
